"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Vendor","PartNum"
"C1,C2","2","22u 50V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"C3","1","C","","","","Capacitor_SMD:C_0805_2012Metric","","",""
"D1,D2","2","BAT54S","","","","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf","Mouser","863-BAT54SLT1G"
"J1","1","Conn_02x05_Odd_Even","","","","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"J2","1","in0","","","","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"J3","1","in1","","","","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"J4","1","in2","","","","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"J5","1","in3","","","","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"J6","1","out","","","","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"R1,R2","2","10","","","","Resistor_SMD:R_0805_2012Metric","","",""
"R3,R4,R5,R6,R7,R8,R9,R10","8","100K","","","","Resistor_SMD:R_0805_2012Metric","","",""
"RV1,RV2,RV3,RV4","4","A250K","","","","Eurorack:Potentiometer_RV16AF-41-15R1","","",""
"U1","1","TL072","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf","",""
